38:17:c3:1f:0e:11,38:17:c3:1f:0e:10,38:17:c3:1f:0e:12,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:10,80:8d:b7:55:39:d0,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1f:01:90,38:17:c3:1f:01:91,38:17:c3:1f:01:92,80:8d:b7:55:3a:50,44:48:c1:a5:82:30,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:3a:51,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,38:17:c3:19:d7:70,80:8d:b7:55:3a:52,80:8d:b7:55:35:00,b0:be:76:f8:30:5e,38:17:c3:19:d7:71,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:35:01,80:8d:b7:55:35:02,44:48:c1:a5:82:20,44:48:c1:a5:82:21,38:17:c3:19:d7:60,38:17:c3:19:d7:61,44:48:c1:a5:82:22,38:17:c3:19:d7:62,66:2a:2f:53:7c:99,38:17:c3:1e:ff:11,00:4e:35:df:06:42,38:17:c3:1e:ff:12,38:17:c3:1e:ff:10,b4:5d:50:e1:92:33,00:4e:35:df:06:52,b4:5d:50:e1:92:31,ea:9e:b4:53:24:54,38:17:c3:1f:01:80,38:17:c3:1f:01:81,38:17:c3:1f:01:82,38:17:c3:19:d7:72,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,80:8d:b7:55:3a:41,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,00:4e:35:df:06:50,20:a6:cd:50:24:b0,00:4e:35:df:06:51,ac:e2:d3:c4:08:e6,00:4e:35:df:06:40,00:4e:35:df:06:41,80:8d:b7:55:35:03,80:8d:b7:55:25:e1,20:a6:cd:50:24:a0,80:8d:b7:55:25:e2,38:17:c3:19:45:b0,80:8d:b7:55:25:e3,80:8d:b7:55:39:c0,80:8d:b7:55:3a:40,80:8d:b7:55:3a:42,60:32:b1:3e:1a:b8,38:17:c3:19:55:50,68:ff:7b:e4:af:39,38:17:c3:19:55:51,38:17:c3:19:55:52,38:17:c3:19:45:b1,38:17:c3:19:45:b2,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,68:ff:7b:e4:af:38,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:1f:22:30,00:4e:35:de:e1:12,60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,b4:5d:50:e1:96:51,b4:5d:50:e1:96:50,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,38:17:c3:1f:09:90,b4:5d:50:e1:92:30,b4:5d:50:e1:92:32,80:8d:b7:55:25:e0,b4:5d:50:e1:92:23,38:17:c3:19:71:90,38:17:c3:1e:ff:00,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:19:55:40,38:17:c3:1f:09:83,38:17:c3:1f:09:93,38:17:c3:19:71:91,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,00:4e:35:de:e1:10,00:4e:35:de:e1:11,b4:5d:50:e1:92:21,00:4e:35:de:e1:02,b4:5d:50:e1:92:22,b4:5d:50:e1:92:20,38:17:c3:1f:08:50,00:4e:35:de:e1:00,00:4e:35:de:e1:01,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:1f:08:40,38:17:c3:1f:08:41,a8:bd:27:4c:bd:31,00:4e:35:de:d7:51,00:4e:35:de:d7:52,00:4e:35:de:d7:53,a8:bd:27:4c:bd:30,00:4e:35:de:d7:50,a8:bd:27:4c:bd:32,44:48:c1:91:95:b2,44:48:c1:91:95:b3,72:32:b1:3e:1a:b7,00:4e:35:de:d7:43,38:17:c3:19:71:92,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:22,00:4e:35:de:d7:42,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,00:4e:35:df:0e:12,38:17:c3:19:36:30,00:4e:35:df:0e:11,38:17:c3:1e:fc:b0,38:17:c3:1f:08:42,38:17:c3:19:45:a0,00:4e:35:df:0e:10,00:4e:35:df:0e:01,00:4e:35:df:0e:02,00:4e:35:df:0e:00,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,a8:bd:27:4c:bd:20,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:4f:10,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:24:58:a2,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1b:08:b0,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:19:71:80,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,00:4e:35:de:d7:41,00:4e:35:de:d7:40,x,y,label
-44,-44,-45,-58,-59,-59,-65,-65,-65,-66,-69,-70,-71,-72,-72,-72,-76,-76,-76,-76,-76,-76,-76,-76,-76,-77,-77,-78,-78,-78,-79,-79,-79,-80,-81,-82,-82,-82,-83,-83,-88,-88,-89,-89,-90,-91,-92,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-100,-46,-46,-56,-55,-56,-70,-69,-69,-70,-70,-71,-72,-74,-74,-74,-77,-78,-77,-78,-77,-75,-75,-75,-76,-78,-77,-79,-100,-79,-100,-100,-79,-100,-83,-83,-84,-83,-83,-84,-87,-86,-100,-86,-86,-100,-86,-100,-46,-75,-75,-75,-79,-81,-82,-86,-86,-86,-86,-87,-87,-87,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-47,-47,-47,-57,-56,-57,-69,-69,-69,-69,-71,-73,-72,-74,-73,-75,-79,-77,-77,-78,-78,-74,-74,-75,-75,-79,-78,-100,-82,-77,-100,-100,-100,-100,-84,-84,-82,-82,-85,-83,-100,-86,-89,-86,-87,-100,-88,-100,-48,-75,-100,-100,-79,-82,-82,-100,-84,-84,-89,-84,-89,-100,-88,-88,-77,-81,-82,-83,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-47,-47,-46,-56,-56,-56,-69,-68,-70,-69,-70,-73,-72,-100,-100,-100,-79,-77,-77,-78,-77,-74,-73,-74,-73,-79,-78,-79,-82,-80,-79,-80,-79,-79,-100,-100,-84,-100,-100,-100,-87,-86,-89,-87,-87,-100,-89,-100,-46,-75,-75,-100,-79,-100,-100,-100,-84,-85,-88,-85,-89,-100,-90,-88,-72,-100,-100,-100,-91,-79,-80,-86,-86,-86,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-46,-46,-47,-56,-57,-57,-68,-68,-68,-68,-70,-74,-74,-100,-100,-100,-79,-78,-76,-77,-79,-75,-74,-75,-75,-78,-79,-79,-79,-78,-100,-100,-79,-100,-100,-83,-84,-83,-84,-84,-92,-88,-100,-88,-87,-100,-100,-100,-46,-100,-76,-100,-78,-82,-100,-100,-86,-86,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-45,-46,-46,-56,-56,-56,-70,-70,-70,-70,-71,-74,-74,-72,-74,-72,-81,-76,-76,-76,-81,-74,-73,-74,-73,-79,-81,-80,-100,-78,-100,-80,-80,-80,-84,-83,-83,-83,-83,-100,-89,-88,-87,-86,-87,-100,-92,-100,-47,-100,-76,-100,-79,-100,-100,-100,-85,-85,-100,-85,-100,-100,-87,-89,-100,-100,-83,-100,-89,-100,-80,-86,-86,-100,-90,-86,-90,-90,-91,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-51,-51,-52,-58,-58,-58,-67,-68,-67,-68,-67,-70,-71,-74,-73,-77,-76,-100,-100,-100,-75,-73,-73,-74,-73,-77,-75,-73,-100,-78,-100,-100,-74,-74,-84,-85,-84,-100,-84,-83,-89,-84,-100,-84,-85,-100,-91,-93,-57,-73,-73,-100,-78,-100,-100,-87,-80,-81,-100,-81,-93,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-86,-85,-82,-84,-89,-91,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-51,-52,-51,-58,-58,-58,-68,-68,-68,-68,-67,-70,-70,-73,-73,-73,-75,-83,-82,-82,-75,-74,-74,-73,-74,-77,-75,-73,-100,-78,-100,-100,-73,-73,-85,-85,-83,-84,-85,-84,-87,-85,-100,-84,-85,-100,-89,-100,-58,-73,-74,-72,-77,-85,-100,-100,-81,-82,-92,-81,-88,-87,-100,-100,-70,-100,-84,-100,-100,-77,-75,-100,-100,-100,-100,-85,-100,-100,-83,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-51,-51,-51,-71,-58,-57,-69,-69,-69,-69,-68,-71,-70,-75,-74,-73,-76,-82,-82,-82,-76,-79,-79,-79,-80,-77,-77,-76,-100,-76,-74,-74,-76,-76,-100,-100,-85,-85,-100,-84,-100,-89,-100,-90,-90,-100,-88,-100,-58,-73,-73,-73,-76,-85,-84,-88,-81,-81,-89,-81,-90,-100,-100,-100,-70,-100,-100,-77,-84,-100,-74,-87,-87,-85,-100,-100,-100,-100,-83,-83,-100,-100,-100,-89,-89,-90,-91,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-52,-52,-52,-57,-57,-57,-68,-66,-67,-67,-69,-72,-71,-72,-71,-72,-82,-78,-79,-79,-81,-75,-75,-75,-75,-77,-82,-76,-100,-78,-100,-100,-100,-100,-83,-81,-83,-84,-81,-84,-100,-88,-100,-89,-88,-87,-87,-100,-50,-100,-100,-100,-78,-100,-100,-100,-100,-86,-87,-87,-88,-100,-100,-100,-69,-74,-100,-75,-81,-100,-100,-100,-100,-100,-100,-88,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-91,-91,-86,-90,-91,-91,-91,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
