b8:27:eb:9f:6b:77,38:17:c3:1f:0e:10,ea:9e:b4:53:24:54,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,80:8d:b7:55:35:03,38:17:c3:1f:01:91,80:8d:b7:55:39:d2,80:8d:b7:55:39:d0,80:8d:b7:55:39:d1,38:17:c3:1f:01:90,80:8d:b7:55:35:11,80:8d:b7:55:35:12,38:17:c3:1f:01:92,80:8d:b7:55:35:10,80:8d:b7:55:35:00,80:8d:b7:55:35:13,80:8d:b7:55:35:02,80:8d:b7:55:35:01,b0:be:76:f8:30:5e,38:17:c3:1f:01:80,38:17:c3:1f:01:81,38:17:c3:1f:01:82,80:8d:b7:55:3a:50,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,44:48:c1:a5:82:30,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,80:8d:b7:55:25:e3,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:39:c2,38:17:c3:19:d7:70,38:17:c3:19:d7:72,38:17:c3:19:d7:71,20:a6:cd:50:24:b2,44:48:c1:a5:82:20,44:48:c1:a5:82:21,44:48:c1:a5:82:22,20:a6:cd:50:24:b0,20:a6:cd:50:24:b1,ac:e2:d3:c4:08:e6,20:a6:cd:50:24:a2,38:17:c3:1e:ff:12,38:17:c3:1e:ff:10,38:17:c3:1e:ff:11,00:4e:35:df:06:51,00:4e:35:df:06:52,00:4e:35:df:06:50,38:17:c3:19:d7:62,60:32:b1:3e:1a:b7,38:17:c3:19:d7:60,b4:5d:50:e1:92:23,80:8d:b7:55:39:c1,80:8d:b7:55:25:e2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,72:32:b1:3e:1a:b7,66:2a:2f:53:7c:99,38:17:c3:19:d7:61,38:17:c3:19:45:b1,80:8d:b7:55:39:c0,38:17:c3:19:45:b2,38:17:c3:19:45:b0,00:4e:35:df:06:42,68:ff:7b:e4:af:39,80:8d:b7:55:3a:40,00:4e:35:df:06:40,00:4e:35:df:06:41,80:8d:b7:55:25:e1,60:32:b1:3e:1a:b8,38:17:c3:19:55:52,b4:5d:50:e1:92:33,00:4e:35:de:e1:12,80:8d:b7:55:25:e0,38:17:c3:19:55:51,38:17:c3:19:55:50,b4:5d:50:e1:96:53,b4:5d:50:e1:92:31,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:1f:22:30,38:17:c3:1f:22:32,38:17:c3:1f:09:93,38:17:c3:1f:09:90,00:4e:35:de:e1:10,00:4e:35:de:e1:11,38:17:c3:19:45:a0,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:21,38:17:c3:19:71:90,38:17:c3:19:45:a2,38:17:c3:19:45:a1,38:17:c3:1e:ff:00,20:a6:cd:42:0b:e3,a8:bd:27:4c:bd:30,38:17:c3:1f:09:83,38:17:c3:1e:ff:02,38:17:c3:19:55:40,38:17:c3:19:55:41,38:17:c3:19:55:42,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:1f:22:31,44:48:c1:91:95:b2,44:48:c1:91:95:b3,b4:5d:50:e1:92:20,38:17:c3:1e:ff:01,b4:5d:50:e1:92:22,00:4e:35:de:e1:00,38:17:c3:1f:08:50,00:4e:35:df:0e:12,68:ff:7b:e4:af:38,00:4e:35:de:e1:01,00:4e:35:de:e1:02,38:17:c3:1f:08:51,38:17:c3:1f:08:52,00:4e:35:de:d7:52,00:4e:35:de:d7:53,00:4e:35:de:d7:50,00:4e:35:de:d7:43,00:4e:35:de:d7:51,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:1f:22:20,38:17:c3:19:36:30,38:17:c3:1f:08:41,38:17:c3:1f:08:40,38:17:c3:1f:08:42,38:17:c3:1f:22:22,00:4e:35:df:0e:11,38:17:c3:19:71:81,38:17:c3:19:71:82,a8:bd:27:4c:bd:21,38:17:c3:1e:fc:b0,a8:bd:27:4c:bd:22,00:4e:35:df:0e:02,00:4e:35:df:0e:00,00:4e:35:df:0e:01,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,00:4e:35:df:0e:10,a8:bd:27:4c:bd:20,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:4f:10,38:17:c3:24:4f:01,38:17:c3:1f:0f:91,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:1f:0f:92,38:17:c3:1f:0f:90,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:1b:08:b0,00:4e:35:df:27:01,38:17:c3:19:71:80,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:de:d7:42,00:4e:35:de:d7:40,00:4e:35:de:d7:41,x,y,timestamp
-38,-46,-51,-52,-53,-55,-55,-55,-68,-69,-70,-71,-71,-71,-72,-72,-72,-72,-73,-73,-73,-74,-75,-76,-76,-77,-78,-78,-78,-79,-79,-79,-79,-79,-79,-80,-80,-80,-81,-81,-81,-83,-84,-84,-84,-84,-84,-84,-85,-85,-86,-86,-87,-88,-88,-89,-90,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,652,24209712193976
-35,-46,-51,-51,-50,-55,-55,-56,-100,-71,-71,-73,-71,-71,-72,-73,-70,-73,-75,-72,-100,-75,-74,-76,-76,-76,-79,-78,-78,-79,-78,-79,-80,-79,-100,-80,-80,-80,-80,-81,-81,-83,-84,-85,-85,-84,-83,-100,-84,-86,-85,-86,-100,-88,-100,-90,-100,-92,-91,-79,-81,-84,-85,-90,-90,-90,-90,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,652,24212184604066
-36,-46,-62,-53,-54,-57,-56,-57,-70,-73,-71,-71,-71,-72,-74,-72,-73,-73,-100,-73,-100,-100,-81,-100,-100,-100,-76,-76,-77,-81,-82,-81,-80,-80,-100,-80,-81,-81,-82,-82,-82,-83,-100,-100,-100,-83,-83,-100,-100,-85,-85,-85,-100,-90,-100,-100,-89,-100,-100,-82,-100,-100,-100,-100,-100,-100,-88,-100,-100,-81,-89,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,652,24214822521047
-37,-46,-52,-50,-51,-100,-100,-100,-71,-71,-71,-71,-70,-71,-75,-75,-70,-75,-75,-75,-75,-75,-74,-100,-77,-100,-77,-78,-79,-100,-100,-100,-78,-79,-100,-79,-79,-78,-81,-81,-81,-83,-85,-86,-86,-83,-83,-100,-100,-86,-85,-86,-88,-89,-88,-100,-100,-100,-88,-78,-100,-100,-100,-90,-89,-89,-89,-100,-100,-78,-88,-100,-100,-85,-89,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,652,24217508037877
-36,-46,-52,-51,-51,-56,-56,-56,-70,-72,-70,-71,-73,-72,-74,-73,-72,-74,-75,-74,-75,-74,-76,-100,-100,-100,-77,-77,-78,-79,-78,-79,-79,-79,-78,-79,-79,-100,-81,-81,-81,-84,-85,-84,-86,-100,-84,-100,-100,-84,-85,-85,-86,-87,-87,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-90,-100,-89,-91,-92,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,652,24220179836268
-36,-46,-52,-51,-51,-56,-56,-56,-70,-72,-71,-72,-71,-71,-74,-74,-73,-74,-72,-75,-72,-72,-76,-100,-100,-100,-78,-79,-79,-80,-79,-79,-80,-79,-100,-79,-79,-100,-82,-81,-81,-84,-85,-87,-86,-84,-85,-80,-85,-84,-85,-84,-87,-88,-87,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-89,-89,-100,-89,-100,-90,-88,-89,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,652,24222844558565
-100,-51,-57,-55,-55,-58,-58,-58,-73,-71,-68,-68,-68,-71,-72,-72,-71,-72,-76,-71,-75,-75,-74,-75,-76,-76,-77,-77,-77,-76,-77,-76,-74,-75,-100,-74,-74,-79,-74,-74,-74,-100,-83,-83,-84,-100,-100,-86,-100,-86,-86,-87,-83,-82,-83,-81,-100,-81,-88,-100,-100,-100,-100,-100,-84,-100,-89,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-88,-90,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,637,24285681550919
-40,-51,-58,-54,-55,-56,-56,-56,-71,-66,-68,-69,-68,-71,-72,-72,-71,-72,-75,-73,-75,-74,-74,-74,-75,-75,-77,-77,-77,-76,-76,-76,-76,-76,-77,-76,-76,-77,-75,-75,-75,-82,-84,-83,-83,-83,-82,-88,-100,-85,-84,-85,-82,-82,-82,-81,-89,-81,-100,-76,-78,-87,-100,-84,-84,-90,-90,-81,-85,-78,-85,-100,-100,-100,-84,-100,-88,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,637,24288382954052
-40,-51,-58,-55,-54,-100,-100,-100,-71,-68,-67,-79,-67,-72,-71,-70,-71,-71,-75,-71,-75,-76,-75,-74,-75,-100,-78,-78,-78,-76,-76,-77,-76,-74,-78,-75,-75,-77,-74,-74,-74,-82,-83,-83,-82,-83,-82,-84,-100,-100,-100,-100,-84,-83,-100,-80,-88,-80,-100,-77,-100,-100,-100,-84,-84,-89,-90,-80,-100,-77,-100,-100,-88,-100,-84,-100,-89,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,637,24291157644120
-43,-51,-57,-54,-53,-66,-67,-67,-72,-70,-69,-70,-69,-71,-70,-70,-70,-70,-77,-69,-76,-76,-73,-75,-75,-76,-75,-75,-76,-76,-76,-76,-76,-76,-75,-76,-76,-100,-74,-74,-74,-83,-83,-83,-83,-100,-100,-100,-100,-84,-84,-84,-83,-82,-82,-81,-88,-82,-100,-100,-78,-100,-100,-100,-84,-100,-90,-81,-100,-100,-85,-100,-88,-100,-84,-100,-88,-78,-85,-87,-90,-92,-78,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,637,24293588121654
