38:17:c3:1f:00:b0,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,44:48:c1:91:d0:14,44:48:c1:91:d0:12,44:48:c1:91:d0:10,b4:5d:50:e1:96:53,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,b4:5d:50:e1:96:43,44:48:c1:91:d0:04,38:17:c3:1f:14:01,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,38:17:c3:24:47:51,38:17:c3:1f:09:93,38:17:c3:24:47:52,38:17:c3:1f:09:92,38:17:c3:1f:09:91,38:17:c3:1f:00:a1,20:a6:cd:42:0a:c3,38:17:c3:1f:14:02,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,38:17:c3:1f:00:a2,44:48:c1:91:d0:00,b4:5d:50:e1:96:41,b4:5d:50:e1:96:42,44:48:c1:91:d0:02,38:17:c3:1f:14:12,38:17:c3:1f:19:d1,38:17:c3:1f:14:11,38:17:c3:1f:19:d2,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:19:45:b1,38:17:c3:19:45:b2,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:93,44:48:c1:91:95:b3,a8:bd:27:4c:aa:92,44:48:c1:91:95:a1,a8:bd:27:4c:aa:83,44:48:c1:91:95:a0,44:48:c1:91:95:a3,a8:bd:27:4c:aa:82,38:17:c3:1f:09:83,a8:bd:27:4c:aa:81,38:17:c3:1f:19:c1,38:17:c3:1f:19:c2,20:a6:cd:42:0b:e3,44:48:c1:91:d0:11,20:a6:cd:42:0a:d2,b4:5d:50:e1:96:50,38:17:c3:24:47:50,38:17:c3:1f:09:90,38:17:c3:1f:00:a0,20:a6:cd:42:0a:c2,38:17:c3:1f:14:00,44:48:c1:91:d0:01,b4:5d:50:e1:96:40,38:17:c3:1f:19:d0,44:48:c1:91:95:a2,44:48:c1:91:95:b2,38:17:c3:1f:14:10,a8:bd:27:4c:aa:90,38:17:c3:19:45:b0,9c:d6:43:60:92:e0,a8:bd:27:4c:aa:80,38:17:c3:19:d7:70,38:17:c3:1f:19:c0,38:17:c3:19:45:a1,38:17:c3:19:45:a2,ac:e2:d3:c4:08:e6,38:17:c3:19:45:a0,38:17:c3:1a:cf:d0,66:2a:2f:53:7c:99,72:32:b1:3e:1a:b7,38:17:c3:22:61:90,80:8d:b7:55:25:e3,38:17:c3:1f:19:f0,38:17:c3:22:5e:f0,20:a6:cd:42:13:f2,20:a6:cd:42:13:f1,20:a6:cd:42:13:f0,38:17:c3:19:36:30,38:17:c3:1f:09:80,38:17:c3:1f:09:81,38:17:c3:1f:09:82,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,38:17:c3:22:61:91,38:17:c3:22:61:92,38:17:c3:19:d7:71,38:17:c3:19:d7:72,38:17:c3:19:d7:62,38:17:c3:19:d7:60,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,38:17:c3:19:d7:61,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e0,38:17:c3:19:36:31,80:8d:b7:55:35:03,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,38:17:c3:19:36:32,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:3a:50,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:10,b0:be:76:f8:30:5e,68:ff:7b:e4:af:39,38:17:c3:1e:ff:10,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:35:12,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:35:02,68:ff:7b:e4:af:38,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,80:8d:b7:55:39:d0,38:17:c3:19:71:90,38:17:c3:1e:ff:12,38:17:c3:19:71:91,38:17:c3:19:71:92,38:17:c3:1e:ff:11,38:17:c3:19:36:22,80:8d:b7:55:39:c1,ea:9e:b4:53:24:54,80:8d:b7:55:39:c0,80:8d:b7:55:29:d0,80:8d:b7:55:39:c2,38:17:c3:1f:22:30,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,38:17:c3:1e:ff:00,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,80:8d:b7:55:29:c0,20:a6:cd:50:24:a2,00:4e:35:df:06:52,20:a6:cd:50:24:b0,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,00:4e:35:de:e1:12,00:4e:35:df:06:51,38:17:c3:1f:22:31,00:4e:35:df:06:50,20:a6:cd:50:24:b2,00:4e:35:df:06:41,00:4e:35:df:06:40,00:4e:35:df:06:42,20:a6:cd:50:24:b1,38:17:c3:1f:22:32,38:17:c3:1f:0e:10,38:17:c3:1f:0e:11,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:0e:02,80:8d:b7:55:4d:00,80:8d:b7:55:4d:01,38:17:c3:1f:0e:12,80:8d:b7:55:4d:02,x,y,timestamp
-59,-64,-60,-60,-62,-63,-73,-74,-74,-77,-77,-77,-73,-74,-74,-78,-78,-78,-80,-80,-80,-81,-81,-75,-75,-75,-76,-76,-76,-78,-78,-78,-78,-82,-82,-82,-83,-83,-83,-83,-84,-84,-84,-84,-84,-80,-80,-80,-81,-81,-81,-83,-86,-87,-92,-73,-77,-77,-81,-81,-75,-75,-75,-78,-78,-82,-79,-83,-83,-84,-84,-81,-83,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,84,725,381804339697
-60,-64,-60,-60,-61,-66,-74,-74,-75,-77,-77,-77,-71,-74,-75,-77,-77,-77,-81,-82,-81,-81,-81,-74,-77,-75,-75,-74,-74,-78,-78,-78,-78,-82,-83,-83,-83,-84,-84,-84,-83,-84,-83,-84,-84,-80,-80,-80,-84,-81,-81,-82,-86,-88,-92,-74,-77,-77,-80,-82,-75,-75,-74,-78,-78,-83,-79,-84,-82,-84,-84,-81,-82,-89,-87,-78,-79,-88,-78,-92,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,84,725,386224064955
-60,-63,-60,-60,-68,-65,-74,-73,-74,-78,-77,-77,-74,-75,-75,-77,-77,-77,-80,-80,-81,-80,-81,-75,-75,-75,-75,-75,-75,-78,-100,-77,-78,-83,-83,-83,-83,-85,-85,-84,-84,-100,-84,-84,-100,-100,-80,-100,-81,-81,-81,-82,-88,-87,-100,-74,-77,-77,-81,-80,-74,-75,-75,-78,-100,-83,-100,-84,-83,-84,-84,-78,-82,-100,-88,-78,-78,-88,-78,-92,-94,-63,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,84,725,390939312401
-60,-64,-60,-60,-65,-66,-74,-74,-74,-77,-77,-77,-73,-75,-75,-77,-77,-77,-80,-82,-80,-81,-82,-75,-75,-75,-75,-75,-75,-78,-79,-79,-78,-81,-83,-82,-82,-85,-83,-84,-84,-84,-83,-83,-84,-80,-65,-79,-75,-69,-81,-69,-85,-87,-100,-74,-77,-77,-81,-82,-75,-75,-76,-78,-100,-83,-79,-83,-82,-83,-84,-78,-69,-100,-86,-78,-78,-100,-78,-100,-94,-64,-89,-92,-90,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,84,725,395597522139
-60,-64,-60,-60,-62,-66,-73,-73,-74,-77,-77,-77,-71,-74,-75,-77,-78,-77,-80,-82,-80,-82,-82,-75,-77,-75,-76,-75,-75,-78,-78,-77,-78,-83,-82,-83,-82,-84,-84,-84,-83,-84,-83,-83,-84,-79,-81,-79,-77,-82,-80,-82,-85,-100,-100,-73,-77,-77,-80,-82,-75,-74,-76,-78,-79,-82,-79,-84,-83,-83,-84,-79,-83,-88,-86,-100,-100,-100,-100,-100,-90,-64,-100,-92,-90,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,84,725,400265634221
-60,-64,-60,-60,-65,-63,-73,-73,-73,-78,-77,-78,-79,-75,-76,-77,-77,-76,-80,-82,-81,-81,-80,-75,-75,-75,-76,-75,-75,-100,-79,-77,-100,-83,-82,-84,-82,-83,-84,-84,-83,-100,-84,-83,-100,-79,-80,-79,-76,-82,-80,-83,-87,-86,-100,-73,-77,-77,-81,-82,-75,-75,-75,-100,-79,-82,-79,-84,-84,-100,-84,-79,-82,-88,-88,-78,-78,-100,-79,-100,-93,-64,-100,-100,-100,-100,-87,-88,-88,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,84,725,404885119531
-58,-60,-59,-59,-60,-63,-78,-77,-78,-82,-82,-83,-78,-75,-73,-76,-76,-76,-81,-83,-82,-82,-82,-64,-75,-72,-100,-75,-63,-100,-78,-100,-77,-81,-100,-80,-100,-83,-83,-82,-82,-85,-85,-83,-84,-86,-85,-100,-88,-82,-80,-83,-100,-100,-100,-77,-76,-83,-82,-82,-64,-74,-72,-100,-100,-90,-100,-82,-81,-85,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-89,-100,-100,-100,-100,-100,-88,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,84,711,481320833409
-59,-61,-59,-59,-65,-62,-78,-77,-77,-82,-82,-82,-80,-75,-73,-76,-76,-77,-82,-82,-82,-82,-82,-64,-75,-73,-100,-75,-64,-100,-78,-100,-78,-80,-100,-80,-100,-84,-83,-82,-83,-84,-85,-84,-85,-86,-69,-100,-88,-68,-81,-68,-100,-100,-100,-78,-76,-82,-82,-82,-64,-74,-72,-76,-100,-93,-100,-83,-80,-84,-82,-100,-69,-100,-100,-85,-85,-85,-86,-100,-100,-60,-87,-100,-100,-100,-100,-100,-88,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,84,711,485671590021
-58,-60,-58,-58,-63,-62,-79,-80,-80,-80,-81,-80,-78,-77,-100,-77,-76,-77,-82,-82,-82,-82,-82,-64,-77,-73,-75,-75,-63,-77,-100,-100,-78,-81,-88,-80,-90,-83,-83,-82,-82,-85,-84,-83,-85,-100,-87,-100,-89,-68,-80,-68,-100,-100,-100,-79,-77,-82,-82,-83,-64,-75,-72,-76,-100,-88,-100,-82,-81,-85,-82,-100,-69,-100,-100,-85,-85,-88,-86,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-84,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,84,711,490180382572
-58,-60,-59,-59,-63,-62,-80,-79,-79,-81,-80,-81,-79,-75,-73,-76,-76,-76,-80,-84,-81,-83,-84,-64,-75,-73,-75,-75,-64,-77,-100,-100,-77,-81,-88,-80,-90,-83,-83,-84,-85,-84,-84,-83,-84,-100,-85,-100,-89,-82,-80,-82,-100,-100,-100,-79,-76,-81,-80,-84,-64,-75,-73,-78,-79,-90,-100,-82,-81,-83,-84,-100,-82,-100,-100,-100,-100,-88,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-84,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,84,711,494781058924
