b0:be:76:f8:30:5e,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,44:48:c1:a5:82:32,80:8d:b7:55:35:13,44:48:c1:a5:82:31,80:8d:b7:55:35:11,80:8d:b7:55:35:12,ea:9e:b4:53:24:54,80:8d:b7:55:35:03,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:3a:50,80:8d:b7:55:39:d0,44:48:c1:a5:82:30,80:8d:b7:55:35:10,00:4e:35:df:06:42,38:17:c3:1f:0e:10,38:17:c3:19:d7:70,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,38:17:c3:19:d7:62,38:17:c3:1f:01:91,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1f:01:92,80:8d:b7:55:25:f0,38:17:c3:1f:01:90,20:a6:cd:50:24:b0,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,ac:e2:d3:c4:08:e6,80:8d:b7:55:3a:42,38:17:c3:19:d7:61,00:4e:35:df:06:40,60:32:b1:3e:1a:b8,00:4e:35:de:e1:12,80:8d:b7:55:35:02,00:4e:35:df:06:50,60:32:b1:3e:1a:b7,44:48:c1:a5:82:21,44:48:c1:a5:82:22,00:4e:35:df:06:41,38:17:c3:19:45:b1,38:17:c3:19:45:b2,00:4e:35:df:06:52,80:8d:b7:55:25:e3,38:17:c3:1f:01:81,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:1f:22:31,b4:5d:50:e1:92:33,b4:5d:50:e1:92:23,38:17:c3:1e:ff:10,38:17:c3:1f:22:30,80:8d:b7:55:35:01,80:8d:b7:55:39:c1,38:17:c3:1f:22:32,b4:5d:50:e1:92:30,b4:5d:50:e1:92:32,80:8d:b7:55:35:00,80:8d:b7:55:39:c0,44:48:c1:a5:82:20,38:17:c3:1f:09:90,b4:5d:50:e1:92:31,38:17:c3:1f:01:82,00:4e:35:df:06:51,80:8d:b7:55:39:c2,80:8d:b7:55:3a:41,72:32:b1:3e:1a:b7,00:4e:35:de:e1:11,38:17:c3:1f:09:93,38:17:c3:1f:09:91,38:17:c3:1f:01:80,38:17:c3:19:d7:60,66:2a:2f:53:7c:99,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,72:32:b1:3e:1a:b8,20:a6:cd:50:24:a1,68:ff:7b:e4:af:39,38:17:c3:19:45:b0,20:a6:cd:50:24:a0,80:8d:b7:55:25:e0,38:17:c3:19:45:a2,38:17:c3:19:45:a1,80:8d:b7:55:3a:40,38:17:c3:19:45:a0,00:4e:35:de:e1:10,68:ff:7b:e4:af:38,20:a6:cd:50:24:a2,b4:5d:50:e1:92:22,38:17:c3:19:55:40,38:17:c3:1e:ff:02,b4:5d:50:e1:96:53,38:17:c3:19:55:51,b4:5d:50:e1:96:52,38:17:c3:19:55:50,b4:5d:50:e1:92:21,38:17:c3:19:71:91,38:17:c3:19:71:92,38:17:c3:1f:09:92,38:17:c3:19:71:90,44:48:c1:91:95:b2,38:17:c3:19:55:52,00:4e:35:de:e1:01,38:17:c3:1f:09:83,38:17:c3:19:55:41,44:48:c1:91:95:b3,20:a6:cd:42:0b:e3,00:4e:35:de:e1:02,38:17:c3:19:55:42,38:17:c3:1e:ff:00,38:17:c3:1e:ff:01,b4:5d:50:e1:92:20,00:4e:35:de:e1:00,38:17:c3:1f:22:22,00:4e:35:df:0e:12,a8:bd:27:4c:bd:31,44:48:c1:91:95:b0,38:17:c3:1f:08:50,38:17:c3:1f:08:52,38:17:c3:1f:08:51,44:48:c1:91:95:b1,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:20,38:17:c3:1f:08:42,38:17:c3:1f:08:41,38:17:c3:1f:08:40,00:4e:35:de:d7:53,00:4e:35:de:d7:50,00:4e:35:de:d7:51,a8:bd:27:4c:bd:32,00:4e:35:de:d7:52,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:21,00:4e:35:de:d7:43,00:4e:35:df:0e:11,38:17:c3:1f:22:20,00:4e:35:df:0e:10,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:71:82,38:17:c3:1f:22:21,00:4e:35:de:d7:40,00:4e:35:de:d7:41,00:4e:35:de:d7:42,38:17:c3:19:36:31,38:17:c3:19:36:32,38:17:c3:19:36:30,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,00:4e:35:df:0e:01,00:4e:35:df:0e:00,00:4e:35:df:0e:02,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:a2,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:24:4f:10,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:1b:08:b0,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:24:4f:01,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,38:17:c3:1b:08:a1,00:4e:35:df:27:12,x,y,timestamp
-65,-77,-77,-74,-74,-78,-66,-78,-65,-66,-48,-71,-51,-50,-74,-74,-77,-74,-78,-66,-83,-51,-75,-72,-72,-72,-77,-76,-85,-85,-76,-72,-77,-84,-58,-57,-57,-78,-76,-77,-84,-86,-90,-68,-85,-87,-81,-81,-82,-86,-86,-84,-73,-74,-82,-82,-88,-91,-90,-81,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,704,599709698832
-71,-76,-76,-73,-73,-80,-67,-80,-67,-67,-53,-74,-50,-50,-75,-74,-76,-73,-81,-67,-83,-50,-75,-72,-73,-72,-77,-75,-84,-84,-75,-72,-75,-84,-56,-56,-56,-82,-76,-77,-83,-88,-88,-68,-85,-86,-81,-81,-82,-86,-86,-80,-72,-74,-82,-82,-89,-89,-90,-82,-89,-66,-74,-87,-89,-89,-68,-74,-81,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,704,604427597841
-70,-76,-76,-74,-74,-79,-66,-79,-66,-66,-49,-71,-51,-51,-75,-75,-76,-74,-79,-66,-85,-50,-75,-72,-72,-72,-77,-75,-84,-84,-76,-72,-76,-84,-56,-56,-56,-78,-76,-100,-83,-89,-87,-69,-80,-86,-100,-100,-82,-100,-86,-80,-72,-100,-82,-82,-89,-90,-100,-82,-87,-68,-74,-87,-89,-91,-69,-74,-81,-88,-88,-74,-81,-75,-76,-86,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,704,608959223620
-70,-78,-78,-74,-73,-80,-66,-80,-66,-66,-48,-70,-50,-51,-75,-75,-79,-74,-80,-67,-85,-51,-75,-74,-73,-74,-77,-75,-84,-84,-75,-74,-75,-84,-56,-56,-57,-78,-76,-77,-100,-89,-87,-69,-84,-86,-100,-100,-100,-100,-86,-82,-78,-74,-82,-82,-89,-90,-87,-82,-88,-68,-74,-100,-100,-91,-69,-75,-100,-89,-100,-74,-84,-75,-76,-87,-88,-89,-90,-74,-77,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,704,613479219765
-68,-78,-78,-74,-74,-80,-66,-80,-66,-66,-50,-71,-52,-52,-100,-74,-78,-74,-80,-66,-100,-52,-77,-73,-73,-73,-77,-75,-84,-84,-75,-73,-75,-84,-56,-56,-55,-79,-75,-77,-100,-86,-85,-70,-82,-86,-100,-78,-100,-100,-87,-81,-78,-73,-82,-82,-89,-90,-89,-82,-88,-70,-74,-88,-100,-100,-70,-75,-79,-89,-100,-100,-82,-74,-75,-87,-88,-89,-90,-74,-78,-88,-77,-78,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,704,618022855075
-70,-77,-77,-74,-74,-79,-66,-79,-66,-66,-50,-71,-51,-51,-75,-75,-77,-74,-79,-66,-85,-51,-75,-73,-73,-73,-78,-73,-85,-86,-73,-73,-73,-86,-56,-56,-56,-68,-76,-78,-100,-84,-88,-70,-82,-86,-70,-79,-84,-87,-87,-81,-100,-76,-82,-82,-88,-89,-89,-83,-89,-70,-75,-88,-100,-100,-70,-75,-79,-90,-100,-100,-82,-75,-75,-100,-88,-100,-100,-73,-78,-92,-77,-78,-87,-86,-88,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,704,622529051792
-74,-73,-73,-70,-69,-77,-61,-78,-60,-60,-52,-68,-53,-53,-73,-73,-73,-70,-78,-61,-100,-53,-73,-100,-100,-100,-77,-73,-84,-83,-73,-100,-73,-84,-54,-54,-54,-81,-79,-77,-100,-100,-100,-68,-83,-100,-100,-100,-100,-100,-81,-83,-75,-75,-77,-77,-86,-100,-100,-77,-86,-68,-63,-86,-100,-100,-69,-100,-100,-88,-100,-100,-84,-68,-100,-100,-100,-89,-100,-100,-78,-88,-73,-74,-82,-84,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,687,721426974567
-73,-73,-73,-72,-72,-78,-61,-79,-61,-61,-54,-69,-53,-53,-73,-73,-73,-71,-78,-61,-83,-53,-73,-71,-70,-70,-77,-73,-84,-84,-73,-71,-73,-84,-54,-54,-54,-77,-79,-77,-100,-100,-100,-67,-82,-100,-75,-75,-83,-81,-82,-81,-75,-75,-77,-77,-86,-100,-100,-78,-86,-68,-71,-87,-100,-100,-69,-63,-75,-88,-100,-100,-82,-71,-80,-100,-100,-89,-100,-100,-78,-88,-73,-74,-82,-84,-100,-81,-100,-76,-84,-86,-80,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,687,726948305971
-76,-73,-74,-71,-71,-78,-61,-79,-61,-61,-52,-69,-53,-53,-73,-73,-74,-71,-78,-61,-83,-53,-74,-70,-70,-70,-76,-73,-83,-84,-73,-70,-73,-83,-56,-56,-56,-78,-79,-78,-100,-100,-100,-69,-81,-100,-75,-75,-83,-81,-81,-81,-100,-75,-77,-77,-86,-100,-88,-77,-87,-69,-71,-87,-100,-100,-69,-71,-75,-88,-100,-75,-81,-71,-80,-100,-100,-87,-100,-100,-77,-100,-100,-100,-100,-100,-100,-81,-100,-100,-84,-86,-80,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,687,732531095240
-52,-73,-73,-70,-70,-80,-61,-79,-61,-61,-52,-89,-54,-54,-74,-74,-73,-70,-79,-61,-100,-54,-74,-70,-70,-70,-78,-74,-84,-84,-74,-70,-74,-83,-56,-56,-56,-78,-100,-77,-100,-87,-89,-69,-82,-100,-100,-76,-100,-100,-82,-80,-76,-75,-77,-77,-86,-100,-90,-77,-86,-69,-72,-87,-100,-100,-68,-71,-100,-89,-100,-75,-82,-71,-80,-100,-89,-90,-100,-100,-77,-89,-77,-77,-100,-100,-89,-100,-100,-75,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,268,687,738276652842
