38:17:c3:19:55:51,38:17:c3:19:55:52,38:17:c3:19:55:41,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:19:55:42,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:19:55:50,38:17:c3:19:55:40,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:b0,38:17:c3:24:58:b0,64:e5:99:c3:13:3c,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:a0,b0:be:76:f8:30:5e,38:17:c3:24:58:a2,38:17:c3:24:58:a1,00:4e:35:df:06:50,70:56:81:c9:91:ab,32:f7:72:50:57:3b,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,80:8d:b7:55:35:12,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1f:01:91,38:17:c3:1f:01:92,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:35:03,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,44:48:c1:a5:82:31,44:48:c1:a5:82:32,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:61,80:8d:b7:55:25:f3,80:8d:b7:55:25:e3,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,80:8d:b7:55:39:d0,80:8d:b7:55:35:10,80:8d:b7:55:39:c0,44:48:c1:a5:82:30,80:8d:b7:55:25:f0,80:8d:b7:55:3a:50,00:4e:35:df:06:52,20:a6:cd:50:24:b0,20:a6:cd:50:24:a0,44:48:c1:a5:82:21,44:48:c1:a5:82:22,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,00:4e:35:df:06:51,00:4e:35:df:06:40,b4:5d:50:e1:92:33,44:48:c1:a5:82:20,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,38:17:c3:19:d7:70,b4:5d:50:e1:92:31,66:2a:2f:53:7c:99,80:8d:b7:55:35:02,80:8d:b7:55:35:01,38:17:c3:1f:01:81,38:17:c3:1f:01:82,38:17:c3:19:d7:62,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,20:a6:cd:50:24:b2,38:17:c3:1e:ff:01,38:17:c3:1e:ff:11,80:8d:b7:55:35:00,38:17:c3:1f:01:80,38:17:c3:19:d7:60,00:4e:35:df:06:42,38:17:c3:1e:ff:00,38:17:c3:1e:ff:10,20:a6:cd:50:24:b1,b4:5d:50:e1:92:23,38:17:c3:1e:ff:12,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:19:45:b1,38:17:c3:19:45:b2,38:17:c3:1e:ff:02,00:4e:35:df:06:41,38:17:c3:19:45:b0,60:32:b1:3e:1a:b8,38:17:c3:19:45:a1,38:17:c3:19:45:a0,60:32:b1:3e:1a:b7,38:17:c3:19:45:a2,00:4e:35:de:e1:12,b4:5d:50:e1:92:22,00:4e:35:de:e1:11,00:4e:35:de:e1:10,a8:bd:27:4c:bd:30,20:a6:cd:42:0b:e3,b4:5d:50:e1:96:50,b4:5d:50:e1:92:21,20:a6:cd:42:0b:f0,b4:5d:50:e1:92:20,b4:5d:50:e1:96:53,00:4e:35:de:e1:01,00:4e:35:de:e1:00,00:4e:35:de:e1:02,a8:bd:27:4c:bd:22,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:08:41,38:17:c3:1f:08:40,38:17:c3:1f:08:42,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:32,38:17:c3:1f:08:50,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:52,00:4e:35:de:d7:50,38:17:c3:19:71:90,a8:bd:27:4c:bd:21,00:4e:35:de:d7:42,00:4e:35:de:d7:40,a8:bd:27:4c:bd:20,38:17:c3:19:71:92,9c:d6:43:60:92:e0,38:17:c3:19:71:91,38:17:c3:1f:22:32,00:4e:35:de:d7:43,38:17:c3:1f:22:22,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:1f:22:31,38:17:c3:1f:22:30,38:17:c3:19:71:82,00:4e:35:df:0e:12,00:4e:35:df:0e:10,00:4e:35:df:0e:01,00:4e:35:df:0e:00,00:4e:35:df:0e:02,00:4e:35:df:0e:11,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,38:17:c3:1b:08:b0,38:17:c3:24:4f:01,38:17:c3:24:4f:00,00:4e:35:de:d7:41,x,y,label
-65,-65,-66,-63,-63,-66,-79,-80,-65,-66,-63,-79,-88,-75,-87,-87,-79,-80,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-53,-53,-42,-48,-48,-74,-78,-78,-72,-72,-74,-74,-69,-69,-68,-75,-75,-80,-80,-77,-76,-83,-76,-85,-87,-83,-84,-80,-80,-53,-48,-72,-78,-74,-69,-81,-83,-86,-82,-86,-79,-72,-73,-77,-78,-100,-80,-88,-73,-75,-77,-83,-88,-86,-72,-71,-100,-100,-100,-83,-83,-87,-100,-90,-100,-67,-100,-100,-81,-89,-86,-86,-89,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-84,-100,-100,-52,-52,-43,-49,-49,-73,-76,-76,-73,-73,-73,-73,-69,-69,-71,-75,-75,-80,-80,-76,-78,-83,-78,-86,-86,-85,-85,-80,-80,-52,-49,-73,-76,-74,-68,-80,-83,-86,-84,-86,-82,-73,-73,-78,-78,-84,-100,-90,-74,-75,-78,-83,-89,-86,-69,-69,-69,-68,-78,-84,-85,-86,-83,-90,-69,-69,-78,-81,-84,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-67,-66,-65,-65,-64,-65,-77,-77,-66,-65,-64,-77,-86,-79,-86,-86,-78,-80,-79,-81,-87,-84,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-64,-64,-68,-63,-63,-68,-77,-78,-64,-63,-63,-77,-84,-78,-85,-85,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-61,-61,-67,-64,-64,-67,-75,-75,-60,-68,-64,-75,-82,-77,-83,-86,-78,-80,-100,-81,-87,-84,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,260.0,0
-86,-86,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-86,-100,-100,-53,-53,-44,-52,-52,-70,-72,-72,-73,-73,-70,-70,-100,-68,-64,-73,-100,-77,-77,-80,-75,-80,-74,-80,-80,-80,-80,-100,-100,-52,-51,-73,-72,-70,-68,-77,-81,-100,-86,-83,-100,-71,-71,-77,-77,-87,-81,-100,-71,-100,-77,-80,-100,-100,-65,-65,-71,-72,-75,-81,-80,-83,-78,-100,-65,-71,-73,-82,-79,-85,-83,-100,-85,-100,-100,-82,-83,-78,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-86,-86,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-86,-100,-100,-52,-53,-43,-51,-51,-71,-72,-72,-73,-74,-71,-70,-69,-69,-63,-73,-73,-78,-78,-80,-73,-80,-71,-79,-79,-80,-80,-100,-100,-52,-52,-74,-72,-71,-69,-77,-81,-79,-89,-83,-100,-71,-71,-77,-76,-87,-81,-100,-72,-74,-77,-80,-100,-90,-65,-65,-72,-72,-73,-80,-80,-82,-78,-100,-65,-72,-73,-82,-78,-87,-82,-100,-87,-100,-100,-82,-82,-78,-82,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-86,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-87,-100,-100,-53,-52,-44,-51,-51,-71,-73,-73,-73,-73,-71,-72,-68,-68,-65,-100,-74,-76,-76,-80,-73,-81,-71,-78,-79,-80,-80,-100,-100,-53,-52,-73,-73,-71,-68,-76,-81,-79,-89,-82,-100,-71,-71,-77,-76,-87,-100,-100,-71,-74,-77,-79,-100,-90,-65,-65,-72,-100,-73,-81,-81,-82,-78,-100,-65,-72,-73,-81,-78,-87,-82,-100,-87,-100,-100,-82,-82,-78,-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-87,-100,-100,-52,-52,-45,-52,-52,-70,-71,-71,-73,-73,-70,-70,-69,-68,-65,-72,-72,-80,-79,-81,-73,-80,-71,-79,-79,-82,-81,-100,-100,-52,-52,-73,-71,-71,-69,-80,-80,-79,-85,-83,-100,-71,-71,-77,-76,-85,-100,-100,-71,-73,-100,-82,-100,-89,-64,-65,-71,-71,-73,-79,-80,-83,-78,-87,-64,-72,-73,-81,-78,-88,-83,-100,-87,-100,-100,-100,-100,-78,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,274.2,1
