60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b0,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,38:17:c3:1f:00:a0,38:17:c3:1f:14:02,b4:5d:50:e1:96:43,38:17:c3:1f:14:01,38:17:c3:1f:14:00,44:48:c1:91:d0:04,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c2,9c:d6:43:60:92:e0,44:48:c1:91:d0:01,44:48:c1:91:d0:00,44:48:c1:91:d0:02,20:a6:cd:42:0a:c0,b4:5d:50:e1:96:40,20:a6:cd:42:0a:c3,a8:bd:27:4c:aa:83,44:48:c1:91:d0:11,44:48:c1:91:d0:10,44:48:c1:91:d0:14,44:48:c1:91:d0:12,38:17:c3:1f:14:12,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,38:17:c3:1f:14:11,38:17:c3:1f:14:10,38:17:c3:1f:09:83,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d2,b4:5d:50:e1:96:53,b4:5d:50:e1:96:50,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,38:17:c3:19:45:b1,38:17:c3:1f:09:92,38:17:c3:1f:09:90,38:17:c3:19:45:a0,44:48:c1:91:95:a1,44:48:c1:91:95:a0,38:17:c3:19:45:b2,38:17:c3:19:45:b0,38:17:c3:1f:09:91,38:17:c3:1f:09:82,44:48:c1:91:95:b3,44:48:c1:91:95:b2,44:48:c1:91:95:b0,38:17:c3:1f:09:93,44:48:c1:91:95:b1,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,38:17:c3:24:47:52,38:17:c3:24:47:50,ac:e2:d3:c4:08:e6,a8:bd:27:4c:aa:92,38:17:c3:1f:19:d0,a8:bd:27:4c:aa:93,38:17:c3:24:47:51,a8:bd:27:4c:aa:90,72:32:b1:3e:1a:b7,b4:5d:50:e1:96:42,b4:5d:50:e1:96:41,38:17:c3:1f:09:80,38:17:c3:1f:09:81,44:48:c1:91:95:a3,44:48:c1:91:95:a2,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,38:17:c3:1f:19:c2,38:17:c3:1f:19:c1,20:a6:cd:42:13:f0,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:22:61:90,38:17:c3:1f:19:c0,66:2a:2f:53:7c:99,a8:bd:27:4c:aa:80,44:48:c1:91:aa:30,44:48:c1:91:aa:31,38:17:c3:1f:19:f1,38:17:c3:1f:19:f2,38:17:c3:1f:19:f0,38:17:c3:19:d7:70,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:72,38:17:c3:19:d7:71,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f1,38:17:c3:19:d7:62,38:17:c3:19:d7:61,38:17:c3:19:d7:60,80:8d:b7:55:25:e3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,80:8d:b7:55:35:03,80:8d:b7:55:35:13,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:35:10,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,02:54:af:fe:54:11,80:8d:b7:55:25:e2,80:8d:b7:55:35:02,80:8d:b7:55:3a:50,80:8d:b7:55:35:01,80:8d:b7:55:35:00,b0:be:76:f8:30:5e,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,ea:9e:b4:53:24:54,80:8d:b7:55:3a:40,80:8d:b7:55:35:11,80:8d:b7:55:35:12,38:17:c3:19:71:90,38:17:c3:19:71:81,38:17:c3:19:36:30,c4:49:bb:c5:3d:f0,38:17:c3:1e:ff:10,38:17:c3:1e:ff:12,38:17:c3:19:71:82,38:17:c3:1e:ff:11,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,68:ff:7b:e4:af:39,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,80:8d:b7:55:39:d0,68:ff:7b:e4:af:38,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:1f:22:30,80:8d:b7:55:29:c0,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:d1,80:8d:b7:55:29:d0,80:8d:b7:55:29:d2,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,20:a6:cd:50:24:b0,38:17:c3:1f:22:20,38:17:c3:1f:22:22,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:1f:22:21,38:17:c3:1f:0e:00,x,y,timestamp
-56,-59,-60,-64,-64,-64,-65,-65,-66,-71,-71,-72,-72,-72,-72,-73,-73,-73,-73,-73,-73,-74,-74,-77,-78,-78,-78,-78,-78,-78,-78,-79,-79,-79,-79,-79,-80,-80,-80,-80,-81,-81,-81,-81,-81,-81,-82,-82,-82,-82,-83,-83,-83,-83,-84,-84,-85,-85,-85,-85,-86,-87,-87,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,112,761,508518631367
-61,-60,-66,-71,-70,-71,-68,-68,-66,-75,-71,-76,-74,-71,-72,-73,-78,-76,-73,-76,-74,-100,-80,-100,-78,-77,-78,-78,-82,-82,-82,-83,-84,-75,-83,-82,-82,-80,-82,-82,-82,-83,-83,-100,-81,-81,-84,-83,-82,-78,-90,-90,-89,-83,-100,-84,-89,-85,-85,-100,-100,-89,-87,-87,-89,-67,-72,-74,-77,-78,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,112,761,511940421366
-64,-64,-65,-71,-70,-70,-67,-67,-66,-75,-100,-76,-74,-71,-100,-100,-77,-76,-77,-76,-74,-100,-77,-100,-78,-79,-79,-79,-85,-82,-82,-85,-85,-77,-82,-82,-79,-82,-82,-80,-86,-84,-84,-100,-83,-83,-86,-86,-83,-78,-90,-90,-89,-85,-100,-88,-87,-89,-89,-100,-100,-87,-100,-89,-87,-65,-72,-76,-77,-78,-79,-80,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,112,761,515287957562
-60,-59,-65,-72,-73,-72,-69,-68,-69,-100,-78,-100,-100,-77,-78,-79,-79,-100,-77,-79,-100,-78,-75,-80,-78,-79,-79,-79,-85,-83,-83,-85,-85,-80,-82,-82,-80,-81,-82,-80,-86,-87,-86,-100,-83,-83,-85,-86,-86,-82,-87,-90,-89,-87,-100,-88,-88,-86,-87,-100,-100,-89,-88,-87,-88,-65,-79,-76,-100,-82,-81,-80,-86,-79,-79,-85,-85,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,112,761,518630856624
-61,-60,-65,-74,-73,-73,-72,-68,-69,-100,-74,-76,-100,-73,-78,-78,-76,-77,-77,-78,-79,-78,-72,-80,-79,-78,-78,-79,-84,-81,-81,-85,-85,-81,-81,-81,-80,-81,-81,-81,-85,-85,-86,-80,-82,-82,-85,-85,-85,-82,-87,-86,-86,-86,-86,-88,-88,-86,-85,-100,-90,-87,-88,-86,-88,-100,-76,-75,-100,-82,-82,-82,-100,-79,-79,-84,-85,-90,-80,-81,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,112,761,522061805372
-57,-62,-65,-71,-71,-70,-69,-68,-69,-100,-74,-76,-100,-73,-78,-78,-77,-77,-77,-78,-78,-79,-72,-78,-77,-78,-78,-78,-84,-81,-81,-85,-85,-81,-81,-81,-82,-81,-81,-82,-85,-85,-86,-80,-83,-82,-84,-85,-85,-80,-86,-85,-86,-85,-86,-88,-88,-86,-86,-100,-90,-87,-88,-86,-88,-100,-77,-78,-100,-100,-84,-82,-100,-79,-100,-84,-100,-89,-80,-81,-89,-85,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,112,761,525585379434
-64,-100,-67,-67,-67,-67,-65,-65,-64,-78,-75,-79,-79,-71,-83,-76,-82,-72,-72,-72,-83,-75,-74,-80,-79,-79,-80,-80,-84,-81,-82,-84,-84,-79,-81,-82,-81,-81,-81,-81,-87,-87,-88,-100,-100,-100,-88,-88,-87,-81,-88,-87,-100,-87,-88,-100,-100,-84,-82,-90,-86,-91,-86,-83,-86,-100,-75,-76,-81,-100,-80,-100,-87,-87,-85,-100,-100,-100,-83,-83,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,112,746,678457721511
-64,-100,-67,-67,-67,-67,-65,-65,-64,-78,-74,-79,-79,-70,-100,-75,-78,-72,-72,-100,-100,-75,-76,-80,-79,-79,-78,-79,-83,-81,-82,-82,-83,-79,-82,-82,-81,-81,-81,-81,-100,-89,-88,-100,-100,-83,-100,-88,-89,-80,-100,-100,-100,-88,-100,-100,-100,-84,-82,-100,-86,-100,-86,-83,-85,-100,-75,-75,-80,-100,-80,-100,-86,-84,-84,-100,-100,-100,-100,-100,-100,-100,-92,-84,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,112,746,681825025311
-63,-67,-67,-67,-66,-66,-66,-66,-64,-100,-74,-100,-100,-72,-77,-75,-79,-72,-100,-100,-76,-75,-79,-83,-78,-79,-78,-79,-83,-82,-82,-83,-83,-79,-82,-82,-81,-81,-81,-80,-100,-89,-88,-100,-100,-83,-100,-100,-89,-80,-90,-100,-100,-88,-100,-100,-100,-83,-82,-100,-86,-100,-85,-83,-85,-100,-75,-75,-81,-100,-80,-82,-85,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-84,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,112,746,685152297602
-63,-63,-67,-67,-66,-66,-65,-66,-64,-100,-75,-100,-100,-72,-77,-75,-80,-100,-100,-100,-76,-76,-79,-83,-77,-79,-78,-78,-83,-82,-82,-83,-83,-79,-83,-83,-81,-81,-81,-80,-100,-90,-89,-100,-81,-100,-100,-100,-89,-83,-90,-90,-100,-88,-100,-100,-100,-83,-83,-88,-86,-100,-85,-84,-85,-100,-76,-75,-83,-83,-80,-81,-85,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,112,746,688499565569
