72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,38:17:c3:1f:00:a0,38:17:c3:1f:00:b0,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,44:48:c1:91:d0:04,a8:bd:27:4c:aa:83,20:a6:cd:42:0a:c3,b4:5d:50:e1:96:42,b4:5d:50:e1:96:40,9c:d6:43:60:92:e0,b4:5d:50:e1:96:43,20:a6:cd:42:0a:c0,44:48:c1:91:d0:02,44:48:c1:91:d0:01,44:48:c1:91:d0:12,20:a6:cd:42:0a:c2,20:a6:cd:42:0a:c1,44:48:c1:91:d0:00,38:17:c3:1f:14:02,44:48:c1:91:d0:10,44:48:c1:91:d0:11,38:17:c3:1f:14:01,38:17:c3:1f:14:00,44:48:c1:91:d0:14,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d0,44:48:c1:91:95:a3,20:a6:cd:42:0a:d2,38:17:c3:1f:09:83,b4:5d:50:e1:96:53,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,38:17:c3:1f:09:82,b4:5d:50:e1:96:50,38:17:c3:1f:14:11,44:48:c1:91:95:a2,44:48:c1:91:95:b1,a8:bd:27:4c:aa:82,38:17:c3:1f:14:12,38:17:c3:1f:14:10,44:48:c1:91:95:b3,44:48:c1:91:95:b2,44:48:c1:91:95:b0,38:17:c3:1f:09:91,38:17:c3:24:47:52,38:17:c3:24:47:51,38:17:c3:1f:09:92,38:17:c3:1f:09:90,38:17:c3:1f:09:93,38:17:c3:24:47:50,a8:bd:27:4c:aa:92,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:91,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,38:17:c3:1f:19:d0,a8:bd:27:4c:aa:90,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:19:45:b0,b4:5d:50:e1:96:41,38:17:c3:1f:09:81,38:17:c3:1f:09:80,a8:bd:27:4c:aa:80,38:17:c3:19:45:a1,44:48:c1:91:95:a0,44:48:c1:91:95:a1,38:17:c3:19:45:a2,38:17:c3:19:45:a0,a8:bd:27:4c:aa:81,72:32:b1:3e:1a:b7,38:17:c3:1f:19:c0,20:a6:cd:42:13:e1,20:a6:cd:42:13:e0,44:48:c1:91:aa:20,44:48:c1:91:aa:22,ac:e2:d3:c4:08:e6,38:17:c3:1f:19:f0,38:17:c3:19:d7:70,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e0,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:f0,80:8d:b7:55:25:e3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,38:17:c3:19:d7:60,38:17:c3:19:d7:62,38:17:c3:19:d7:61,38:17:c3:19:36:30,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:35:13,80:8d:b7:55:3a:50,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,80:8d:b7:55:35:03,80:8d:b7:55:35:10,66:2a:2f:53:7c:99,80:8d:b7:55:25:e2,ea:9e:b4:53:24:54,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:3a:51,80:8d:b7:55:3a:42,80:8d:b7:55:35:00,80:8d:b7:55:3a:52,b0:be:76:f8:30:5e,38:17:c3:19:71:90,68:ff:7b:e4:af:39,80:8d:b7:55:3a:40,80:8d:b7:55:3a:41,38:17:c3:1e:ff:10,38:17:c3:19:71:81,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,20:a6:cd:50:24:a0,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,20:a6:cd:50:24:a1,80:8d:b7:55:29:d0,80:8d:b7:55:39:c2,80:8d:b7:55:29:d2,20:a6:cd:50:24:a2,80:8d:b7:55:39:d1,80:8d:b7:55:39:d0,80:8d:b7:55:39:d2,80:8d:b7:55:29:c2,80:8d:b7:55:29:d1,68:ff:7b:e4:af:38,38:17:c3:1f:22:30,80:8d:b7:55:29:c0,20:a6:cd:50:24:b0,80:8d:b7:55:29:c1,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:22:22,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,x,y,timestamp
-57,-61,-65,-69,-69,-70,-71,-72,-72,-72,-72,-73,-74,-74,-75,-76,-77,-77,-77,-78,-78,-78,-78,-78,-79,-79,-79,-79,-80,-80,-80,-80,-80,-81,-81,-82,-82,-82,-83,-83,-84,-84,-84,-84,-85,-86,-86,-86,-86,-86,-87,-87,-87,-87,-87,-88,-88,-89,-89,-90,-90,-90,-90,-90,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,159,798,688808694006
-57,-59,-66,-70,-70,-70,-70,-69,-70,-73,-80,-75,-76,-100,-71,-76,-77,-77,-77,-78,-78,-78,-78,-78,-77,-77,-79,-79,-78,-82,-82,-83,-79,-82,-78,-81,-81,-81,-83,-80,-86,-84,-100,-84,-87,-88,-87,-87,-86,-87,-86,-85,-85,-87,-86,-87,-100,-88,-100,-89,-100,-91,-90,-87,-87,-87,-76,-83,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,159,798,692234280203
-100,-57,-66,-70,-70,-69,-70,-69,-70,-73,-79,-75,-76,-75,-72,-73,-77,-77,-77,-77,-76,-78,-100,-78,-77,-78,-100,-79,-78,-82,-82,-83,-78,-83,-80,-82,-83,-82,-83,-83,-86,-81,-86,-79,-87,-90,-87,-86,-86,-87,-85,-85,-86,-86,-86,-86,-100,-90,-88,-89,-100,-91,-89,-85,-86,-86,-74,-83,-84,-84,-77,-80,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,159,798,695686343430
-100,-61,-66,-70,-71,-70,-70,-69,-69,-75,-81,-76,-80,-75,-75,-73,-77,-80,-81,-80,-77,-78,-80,-79,-77,-78,-81,-81,-78,-82,-81,-82,-78,-82,-80,-82,-84,-83,-86,-84,-100,-83,-86,-79,-100,-89,-87,-87,-87,-87,-85,-85,-86,-87,-87,-84,-100,-90,-88,-100,-100,-91,-89,-85,-85,-86,-74,-88,-85,-100,-77,-80,-84,-81,-83,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,159,798,699035139992
-57,-59,-66,-70,-70,-69,-69,-69,-69,-79,-82,-76,-80,-77,-73,-77,-77,-79,-79,-78,-77,-78,-80,-81,-77,-78,-82,-81,-78,-83,-83,-82,-80,-82,-80,-82,-84,-83,-86,-84,-87,-83,-86,-100,-87,-88,-86,-86,-87,-87,-86,-88,-86,-87,-87,-87,-89,-100,-100,-100,-100,-91,-100,-85,-85,-86,-100,-88,-85,-100,-100,-100,-84,-81,-83,-86,-67,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,159,798,702482364990
-58,-59,-65,-69,-70,-69,-67,-68,-67,-77,-81,-76,-100,-77,-74,-74,-77,-79,-79,-79,-100,-77,-78,-80,-78,-78,-80,-81,-78,-82,-82,-82,-80,-82,-80,-83,-83,-83,-86,-83,-89,-100,-88,-84,-89,-89,-86,-86,-88,-88,-86,-86,-88,-87,-87,-86,-89,-89,-100,-100,-100,-91,-100,-85,-84,-85,-100,-100,-100,-84,-100,-100,-100,-100,-79,-82,-67,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,159,798,705895127749
-63,-59,-67,-100,-70,-72,-64,-64,-64,-79,-78,-72,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-78,-100,-100,-85,-85,-86,-100,-85,-83,-88,-88,-88,-100,-87,-85,-100,-86,-82,-84,-84,-87,-85,-85,-86,-100,-100,-86,-87,-87,-89,-89,-88,-89,-100,-100,-100,-89,-87,-86,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-68,-100,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,159,783,753044319398
-63,-59,-66,-71,-70,-71,-64,-64,-64,-79,-79,-73,-82,-100,-78,-100,-76,-100,-100,-81,-75,-75,-100,-77,-81,-81,-77,-77,-80,-82,-82,-82,-100,-82,-80,-85,-85,-85,-83,-86,-82,-80,-85,-82,-83,-83,-85,-84,-85,-86,-100,-88,-86,-87,-87,-89,-89,-88,-89,-90,-88,-91,-89,-88,-88,-88,-100,-100,-100,-100,-81,-80,-80,-82,-81,-100,-68,-100,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,159,783,756224171324
-67,-62,-65,-71,-70,-71,-62,-63,-62,-83,-79,-73,-82,-100,-78,-79,-76,-83,-83,-81,-75,-76,-100,-77,-81,-81,-77,-77,-80,-82,-82,-82,-83,-82,-83,-86,-85,-85,-83,-86,-84,-82,-84,-84,-83,-83,-85,-84,-85,-85,-100,-88,-86,-87,-87,-89,-89,-86,-100,-90,-88,-91,-89,-88,-88,-88,-100,-84,-100,-100,-83,-80,-80,-82,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,159,783,759669554031
-61,-62,-66,-72,-71,-71,-62,-63,-62,-83,-83,-73,-100,-100,-79,-77,-75,-83,-83,-80,-76,-76,-100,-78,-81,-80,-77,-76,-80,-82,-82,-82,-82,-82,-83,-85,-83,-85,-84,-84,-83,-82,-85,-84,-83,-83,-85,-84,-85,-85,-87,-88,-86,-86,-87,-87,-88,-86,-87,-100,-100,-100,-88,-100,-100,-91,-100,-84,-100,-100,-82,-100,-100,-82,-82,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,159,783,762987168978
