72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b2,38:17:c3:1f:00:b0,38:17:c3:1f:00:b1,38:17:c3:1f:00:a1,38:17:c3:1f:00:a2,38:17:c3:1f:00:a0,20:a6:cd:42:0a:c3,38:17:c3:1f:14:02,38:17:c3:1f:14:00,38:17:c3:1f:14:01,20:a6:cd:42:0a:c2,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c0,44:48:c1:91:d0:12,44:48:c1:91:d0:11,b4:5d:50:e1:96:43,44:48:c1:91:d0:10,44:48:c1:91:d0:14,b4:5d:50:e1:96:40,44:48:c1:91:d0:00,b4:5d:50:e1:96:41,44:48:c1:91:d0:01,44:48:c1:91:d0:02,44:48:c1:91:d0:04,9c:d6:43:60:92:e0,20:a6:cd:42:0a:d2,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d1,38:17:c3:1f:09:83,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:53,b4:5d:50:e1:96:50,20:a6:cd:42:0a:d0,38:17:c3:1f:14:11,a8:bd:27:4c:aa:83,38:17:c3:1f:09:82,38:17:c3:1f:14:10,38:17:c3:1f:09:81,38:17:c3:19:45:a0,38:17:c3:1f:14:12,38:17:c3:24:47:52,44:48:c1:91:95:b3,38:17:c3:24:47:50,38:17:c3:24:47:51,44:48:c1:91:95:b2,44:48:c1:91:95:b0,a8:bd:27:4c:aa:93,20:a6:cd:42:13:e2,38:17:c3:19:45:b1,44:48:c1:91:95:b1,38:17:c3:19:45:b0,a8:bd:27:4c:aa:92,38:17:c3:19:45:b2,a8:bd:27:4c:aa:91,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,44:48:c1:91:aa:22,a8:bd:27:4c:aa:90,38:17:c3:1f:19:d0,20:a6:cd:42:13:f0,72:32:b1:3e:1a:b7,b4:5d:50:e1:96:42,44:48:c1:91:95:a3,38:17:c3:1f:09:80,38:17:c3:1f:09:93,38:17:c3:1f:09:92,38:17:c3:1f:09:91,38:17:c3:1f:09:90,44:48:c1:91:95:a2,44:48:c1:91:aa:20,a8:bd:27:4c:aa:82,44:48:c1:91:aa:21,44:48:c1:91:aa:30,38:17:c3:19:45:a2,38:17:c3:19:45:a1,44:48:c1:91:95:a1,a8:bd:27:4c:aa:81,a8:bd:27:4c:aa:80,38:17:c3:22:61:90,44:48:c1:91:95:a0,ac:e2:d3:c4:08:e6,66:2a:2f:53:7c:99,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:70,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e3,38:17:c3:1f:19:f0,38:17:c3:19:d7:60,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f3,38:17:c3:19:d7:62,38:17:c3:19:d7:61,20:a6:cd:42:0b:f1,38:17:c3:19:d7:72,38:17:c3:19:d7:71,20:a6:cd:42:0b:f2,80:8d:b7:55:25:e3,80:8d:b7:55:25:f0,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:25:f3,80:8d:b7:55:35:03,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:3a:50,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:10,ea:9e:b4:53:24:54,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:00,80:8d:b7:55:35:12,80:8d:b7:55:3a:40,b0:be:76:f8:30:5e,38:17:c3:19:71:90,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,38:17:c3:19:36:30,38:17:c3:19:36:31,38:17:c3:1e:ff:10,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:19:36:21,80:8d:b7:55:29:c0,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,38:17:c3:1e:ff:02,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,80:8d:b7:55:29:d0,80:8d:b7:55:29:d2,80:8d:b7:55:39:c2,80:8d:b7:55:39:d0,68:ff:7b:e4:af:39,38:17:c3:1e:ff:01,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,68:ff:7b:e4:af:38,38:17:c3:1e:ff:00,00:4e:35:df:06:40,00:4e:35:df:06:50,80:8d:b7:55:29:d1,20:a6:cd:50:24:b0,00:4e:35:df:06:52,38:17:c3:19:71:91,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,00:4e:35:df:06:42,38:17:c3:1f:22:30,38:17:c3:1f:22:31,38:17:c3:1f:22:32,38:17:c3:1f:0e:01,38:17:c3:1f:22:20,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,38:17:c3:1f:22:21,38:17:c3:1f:22:22,x,y,timestamp
-57,-61,-65,-68,-68,-68,-69,-69,-70,-70,-72,-72,-72,-74,-74,-74,-75,-76,-76,-76,-77,-77,-78,-78,-79,-79,-80,-80,-81,-81,-81,-81,-82,-82,-82,-82,-82,-82,-82,-82,-83,-83,-83,-84,-85,-85,-86,-86,-86,-86,-86,-86,-87,-87,-87,-87,-88,-88,-88,-88,-88,-89,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,119,813,1812986743630
-57,-58,-65,-68,-68,-68,-68,-68,-68,-70,-72,-72,-72,-72,-72,-72,-77,-77,-76,-77,-77,-76,-79,-74,-79,-78,-80,-79,-82,-81,-82,-80,-82,-82,-82,-82,-81,-82,-81,-82,-83,-82,-83,-84,-82,-85,-83,-83,-87,-86,-87,-86,-87,-86,-88,-87,-88,-88,-87,-87,-88,-89,-88,-91,-65,-74,-81,-83,-84,-84,-84,-84,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,119,813,1816407986077
-57,-57,-65,-68,-68,-68,-68,-68,-68,-74,-73,-74,-73,-72,-72,-72,-78,-78,-76,-78,-77,-76,-79,-74,-79,-78,-78,-79,-81,-81,-81,-80,-83,-82,-82,-82,-81,-86,-82,-81,-86,-82,-83,-85,-82,-85,-83,-83,-87,-86,-88,-100,-100,-86,-88,-89,-100,-88,-87,-85,-100,-89,-87,-100,-65,-74,-81,-82,-84,-84,-84,-84,-86,-87,-88,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,119,813,1819918975242
-57,-58,-65,-66,-67,-66,-67,-68,-67,-71,-73,-74,-73,-72,-72,-73,-77,-78,-79,-78,-79,-76,-80,-76,-79,-78,-78,-79,-81,-81,-81,-81,-82,-82,-82,-82,-81,-83,-79,-82,-85,-82,-84,-84,-81,-85,-82,-82,-87,-86,-88,-100,-100,-87,-100,-89,-100,-88,-87,-86,-100,-88,-87,-90,-65,-77,-81,-82,-84,-84,-84,-84,-100,-87,-88,-89,-90,-84,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,119,813,1823337327480
-59,-59,-65,-66,-66,-66,-67,-67,-68,-70,-73,-74,-73,-72,-72,-73,-76,-76,-79,-78,-77,-76,-80,-76,-80,-78,-78,-79,-82,-82,-82,-80,-83,-82,-82,-82,-82,-83,-81,-82,-85,-83,-84,-84,-81,-87,-83,-82,-86,-86,-87,-100,-100,-86,-100,-87,-100,-88,-87,-86,-100,-88,-87,-90,-66,-77,-81,-83,-83,-83,-83,-83,-86,-100,-100,-100,-89,-85,-83,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,119,813,1826750495917
-59,-57,-65,-66,-66,-66,-67,-67,-67,-70,-74,-74,-73,-73,-73,-74,-80,-77,-77,-78,-78,-76,-80,-76,-78,-78,-78,-79,-81,-80,-82,-80,-82,-81,-82,-82,-80,-83,-81,-82,-84,-83,-100,-84,-83,-87,-83,-84,-86,-87,-87,-100,-100,-86,-92,-87,-100,-88,-85,-86,-100,-86,-86,-92,-66,-76,-81,-83,-83,-83,-83,-84,-86,-100,-100,-100,-89,-85,-83,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,119,813,1830186674301
-60,-62,-65,-63,-63,-63,-68,-69,-67,-76,-75,-75,-75,-75,-74,-76,-79,-79,-78,-80,-80,-80,-83,-76,-83,-81,-77,-81,-84,-84,-83,-82,-83,-83,-82,-83,-84,-86,-79,-83,-84,-83,-82,-85,-86,-88,-89,-86,-87,-100,-88,-100,-87,-86,-89,-87,-88,-88,-100,-100,-91,-89,-100,-100,-66,-83,-82,-100,-87,-87,-88,-87,-100,-100,-100,-100,-100,-100,-82,-100,-100,-84,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,119,798,1914584564841
-61,-59,-67,-62,-62,-62,-68,-69,-67,-68,-76,-76,-75,-75,-74,-76,-77,-77,-78,-78,-78,-100,-79,-76,-80,-79,-77,-80,-81,-81,-81,-85,-85,-86,-86,-85,-81,-85,-79,-83,-84,-83,-82,-85,-88,-86,-87,-89,-85,-85,-91,-100,-87,-86,-87,-100,-86,-100,-100,-100,-100,-92,-100,-100,-100,-100,-82,-100,-87,-87,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-71,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,119,798,1917944374736
-61,-61,-66,-62,-62,-62,-68,-100,-67,-68,-76,-76,-75,-76,-100,-100,-78,-78,-100,-78,-78,-100,-79,-100,-80,-79,-77,-80,-82,-82,-83,-85,-85,-84,-86,-85,-82,-85,-80,-100,-84,-100,-100,-85,-87,-86,-86,-87,-85,-86,-91,-100,-87,-86,-87,-100,-86,-100,-100,-100,-100,-92,-100,-91,-100,-100,-78,-100,-87,-88,-88,-89,-100,-100,-84,-100,-100,-100,-100,-100,-80,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,119,798,1921299150620
-61,-61,-66,-63,-62,-62,-68,-67,-67,-74,-78,-76,-77,-76,-76,-77,-79,-79,-76,-78,-79,-76,-80,-75,-82,-100,-76,-81,-82,-82,-82,-100,-86,-87,-86,-85,-82,-84,-80,-100,-84,-100,-100,-84,-87,-86,-87,-88,-85,-85,-90,-100,-100,-85,-87,-100,-89,-100,-100,-100,-100,-91,-100,-91,-100,-75,-78,-100,-87,-89,-88,-87,-100,-100,-86,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,119,798,1924595267963
