38:17:c3:1f:0e:10,b0:be:76:f8:30:5e,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:35:12,38:17:c3:1f:01:92,38:17:c3:1f:01:91,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,80:8d:b7:55:35:01,80:8d:b7:55:35:03,80:8d:b7:55:35:02,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,38:17:c3:1f:01:81,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:25:e1,80:8d:b7:55:25:e3,80:8d:b7:55:3a:41,44:48:c1:a5:82:21,80:8d:b7:55:3a:42,60:32:b1:3e:1a:b7,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,00:4e:35:df:06:51,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:19:d7:61,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:62,00:4e:35:df:06:40,00:4e:35:df:06:41,38:17:c3:1e:ff:01,60:32:b1:3e:1a:b8,38:17:c3:1e:ff:02,38:17:c3:1e:ff:12,2a:16:ad:ec:da:ab,38:17:c3:1e:ff:11,b4:5d:50:e1:92:33,38:17:c3:1f:09:93,38:17:c3:1f:09:92,20:a6:cd:42:0b:f3,68:ff:7b:e4:af:39,80:8d:b7:55:39:d0,80:8d:b7:55:35:10,38:17:c3:1f:01:90,38:17:c3:1f:0e:00,80:8d:b7:55:35:00,80:8d:b7:55:25:f0,44:48:c1:a5:82:30,38:17:c3:19:d7:70,00:4e:35:df:06:52,44:48:c1:a5:82:20,20:a6:cd:50:24:b0,38:17:c3:19:45:b0,00:4e:35:df:06:42,38:17:c3:1e:ff:10,38:17:c3:1f:09:90,38:17:c3:1f:22:30,66:2a:2f:53:7c:99,00:4e:35:df:06:50,80:8d:b7:55:3a:52,44:48:c1:a5:82:22,68:ff:7b:e4:af:38,38:17:c3:19:55:52,38:17:c3:1f:09:91,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:1f:22:32,38:17:c3:1f:22:31,80:8d:b7:55:3a:50,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,00:4e:35:de:e1:12,a8:bd:27:4c:bd:30,20:a6:cd:42:0b:f0,80:8d:b7:55:3a:51,80:8d:b7:55:25:e2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,b4:5d:50:e1:92:30,b4:5d:50:e1:92:32,80:8d:b7:55:39:c0,b4:5d:50:e1:92:31,38:17:c3:1e:ff:00,38:17:c3:1f:09:83,38:17:c3:19:d7:60,20:a6:cd:42:0b:e3,20:a6:cd:50:24:a0,72:32:b1:3e:1a:b7,b4:5d:50:e1:92:22,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:23,b4:5d:50:e1:96:43,38:17:c3:1f:01:82,00:4e:35:de:e1:10,38:17:c3:19:55:51,00:4e:35:de:e1:11,38:17:c3:19:55:50,38:17:c3:19:71:90,38:17:c3:19:71:91,38:17:c3:19:45:a2,38:17:c3:19:45:a1,b4:5d:50:e1:96:53,b4:5d:50:e1:96:50,00:4e:35:de:e1:02,38:17:c3:1f:22:22,00:4e:35:de:e1:01,00:4e:35:de:e1:00,20:a6:cd:42:0b:f2,b4:5d:50:e1:92:21,38:17:c3:19:71:92,b4:5d:50:e1:92:20,38:17:c3:1f:01:80,38:17:c3:1f:08:52,38:17:c3:1f:08:50,38:17:c3:19:55:40,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:e1,38:17:c3:1f:00:b1,20:a6:cd:42:0a:c3,20:a6:cd:42:0b:e0,38:17:c3:1f:00:b0,20:a6:cd:42:0b:e2,38:17:c3:1f:08:51,38:17:c3:19:55:42,38:17:c3:1f:22:20,00:4e:35:de:d7:53,00:4e:35:de:d7:43,00:4e:35:de:d7:52,38:17:c3:19:55:41,a8:bd:27:4c:bd:22,44:48:c1:91:95:b2,00:4e:35:df:0e:12,38:17:c3:1f:22:21,a8:bd:27:4c:bd:20,38:17:c3:1f:08:42,38:17:c3:1f:08:41,44:48:c1:91:95:b0,38:17:c3:1f:08:40,44:48:c1:91:95:b3,44:48:c1:91:95:b1,00:4e:35:de:d7:51,00:4e:35:de:d7:50,a8:bd:27:4c:bd:21,00:4e:35:de:d7:40,00:4e:35:df:0e:01,00:4e:35:de:d7:42,00:4e:35:de:d7:41,38:17:c3:19:36:30,00:4e:35:df:0e:10,00:4e:35:df:0e:11,38:17:c3:19:71:81,38:17:c3:19:36:31,38:17:c3:1e:fc:a2,38:17:c3:19:71:82,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b0,38:17:c3:19:71:80,00:4e:35:df:0e:02,00:4e:35:df:0e:00,64:e5:99:c3:13:3c,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1f:0f:91,38:17:c3:1f:0f:92,38:17:c3:24:58:a2,38:17:c3:24:58:a1,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,38:17:c3:24:58:a0,38:17:c3:24:4f:01,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:12,38:17:c3:1b:08:a2,38:17:c3:1b:08:a1,38:17:c3:1b:08:a0,00:4e:35:df:27:10,00:4e:35:df:27:11,9c:d6:43:60:92:e0,x,y,timestamp
-50,-50,-48,-48,-61,-61,-62,-62,-62,-68,-68,-41,-44,-44,-66,-66,-66,-71,-71,-71,-72,-72,-68,-68,-70,-74,-75,-72,-72,-73,-74,-74,-84,-78,-78,-79,-81,-81,-75,-76,-76,-77,-77,-79,-79,-79,-83,-83,-83,-84,-84,-84,-90,-85,-61,-62,-68,-44,-66,-72,-72,-75,-77,-74,-78,-81,-78,-82,-86,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,266,719,666265322297
-48,-67,-48,-48,-61,-61,-62,-62,-62,-68,-67,-44,-44,-45,-66,-66,-66,-72,-72,-71,-72,-72,-68,-70,-70,-75,-75,-72,-70,-74,-74,-73,-84,-78,-78,-75,-81,-81,-75,-78,-76,-77,-77,-79,-79,-79,-84,-81,-83,-84,-85,-85,-88,-85,-61,-62,-68,-45,-66,-72,-72,-75,-75,-74,-78,-81,-78,-83,-85,-86,-86,-75,-75,-72,-87,-84,-84,-86,-86,-86,-87,-76,-72,-73,-86,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,266,719,672289874013
-46,-68,-48,-48,-61,-62,-62,-62,-62,-67,-67,-46,-47,-47,-66,-66,-66,-71,-72,-72,-74,-74,-61,-69,-70,-75,-75,-74,-71,-73,-74,-73,-84,-80,-80,-76,-81,-81,-75,-78,-76,-77,-78,-81,-79,-81,-83,-81,-82,-83,-85,-85,-88,-85,-62,-62,-67,-47,-66,-72,-74,-75,-76,-74,-80,-81,-78,-83,-84,-87,-86,-77,-75,-72,-87,-84,-84,-86,-86,-86,-87,-78,-75,-73,-87,-87,-89,-77,-74,-77,-77,-85,-85,-69,-85,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,266,719,678506120730
-48,-65,-48,-48,-61,-61,-62,-62,-62,-67,-68,-44,-44,-45,-64,-65,-65,-71,-71,-71,-72,-72,-70,-69,-100,-75,-75,-74,-71,-74,-73,-74,-100,-79,-79,-73,-81,-100,-75,-78,-75,-77,-78,-81,-100,-81,-82,-81,-83,-85,-85,-85,-88,-100,-62,-62,-68,-45,-66,-71,-72,-75,-73,-74,-79,-100,-79,-83,-84,-86,-84,-75,-75,-74,-87,-84,-84,-84,-85,-87,-87,-77,-75,-74,-87,-87,-89,-76,-74,-77,-77,-84,-83,-69,-83,-80,-88,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,266,719,685047834425
-48,-67,-48,-48,-61,-61,-62,-62,-62,-68,-67,-45,-44,-44,-65,-64,-65,-71,-71,-72,-73,-73,-69,-69,-100,-100,-75,-74,-71,-74,-73,-74,-83,-78,-79,-80,-80,-81,-75,-78,-75,-100,-78,-80,-84,-80,-83,-83,-84,-83,-84,-83,-100,-100,-62,-62,-67,-45,-65,-72,-73,-75,-80,-74,-79,-81,-78,-83,-84,-85,-84,-75,-77,-74,-100,-84,-84,-84,-85,-87,-100,-77,-75,-73,-87,-100,-100,-76,-74,-78,-78,-84,-83,-69,-83,-80,-88,-75,-86,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,266,719,691235309423
-48,-65,-48,-48,-61,-61,-62,-62,-62,-68,-67,-41,-44,-44,-65,-65,-65,-72,-72,-71,-73,-73,-69,-69,-70,-100,-74,-100,-70,-74,-74,-74,-83,-79,-79,-80,-80,-81,-74,-77,-74,-100,-78,-78,-83,-80,-83,-80,-83,-83,-84,-83,-100,-84,-62,-62,-67,-44,-65,-72,-73,-75,-80,-73,-78,-81,-78,-83,-85,-87,-87,-79,-77,-73,-100,-84,-84,-84,-85,-87,-100,-77,-100,-73,-88,-100,-100,-76,-100,-78,-71,-83,-84,-69,-83,-80,-88,-75,-86,-78,-83,-84,-85,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,266,719,697705962806
-50,-65,-50,-50,-61,-61,-63,-63,-63,-70,-70,-43,-44,-44,-62,-65,-65,-74,-74,-74,-71,-70,-69,-69,-70,-72,-72,-100,-68,-74,-69,-74,-80,-75,-75,-79,-80,-81,-71,-70,-74,-81,-82,-78,-86,-80,-79,-79,-79,-82,-86,-86,-88,-84,-61,-63,-70,-50,-65,-75,-71,-73,-79,-73,-75,-81,-81,-79,-86,-87,-83,-79,-75,-69,-86,-100,-86,-89,-100,-100,-100,-74,-100,-74,-85,-89,-87,-74,-100,-76,-76,-83,-84,-69,-83,-80,-88,-71,-86,-78,-83,-84,-85,-85,-88,-63,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,266,704,791401913603
-48,-63,-49,-49,-61,-61,-62,-62,-62,-69,-69,-45,-100,-50,-62,-62,-100,-75,-75,-74,-71,-71,-66,-68,-100,-72,-72,-100,-68,-74,-69,-74,-80,-74,-74,-75,-100,-100,-74,-85,-73,-81,-81,-100,-86,-100,-79,-80,-80,-83,-86,-86,-88,-100,-61,-62,-69,-50,-100,-75,-71,-73,-76,-69,-75,-100,-82,-80,-86,-87,-85,-76,-74,-69,-86,-77,-86,-89,-100,-100,-100,-74,-100,-74,-86,-89,-87,-74,-100,-77,-76,-83,-83,-68,-83,-100,-100,-71,-86,-77,-80,-100,-100,-100,-100,-63,-86,-78,-84,-78,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,266,704,797944440007
-48,-63,-48,-48,-61,-61,-62,-62,-62,-70,-70,-47,-100,-50,-62,-66,-100,-75,-75,-75,-70,-70,-66,-68,-100,-72,-72,-100,-62,-74,-69,-74,-80,-74,-74,-78,-100,-100,-74,-78,-73,-81,-81,-100,-76,-100,-79,-80,-80,-83,-86,-86,-88,-100,-62,-62,-70,-50,-100,-75,-71,-70,-78,-69,-74,-100,-82,-80,-87,-87,-84,-78,-75,-69,-86,-78,-86,-87,-88,-100,-100,-75,-100,-74,-85,-89,-87,-74,-100,-77,-77,-83,-82,-68,-83,-100,-100,-74,-86,-77,-80,-100,-100,-100,-100,-63,-86,-78,-84,-78,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,266,704,804321957088
-48,-65,-48,-48,-61,-61,-62,-63,-63,-69,-69,-47,-49,-49,-65,-66,-65,-74,-74,-75,-71,-71,-66,-65,-100,-72,-73,-100,-69,-100,-69,-74,-81,-74,-74,-76,-100,-79,-73,-72,-73,-100,-81,-100,-76,-100,-80,-79,-80,-84,-87,-100,-100,-86,-61,-63,-69,-49,-100,-74,-71,-77,-75,-70,-75,-100,-82,-80,-87,-87,-82,-78,-74,-69,-100,-78,-100,-87,-88,-100,-100,-75,-100,-100,-87,-100,-100,-74,-100,-77,-78,-83,-82,-64,-83,-77,-100,-74,-100,-77,-80,-100,-100,-100,-100,-64,-86,-78,-84,-78,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,266,704,810909549013
